資產:流動資產:應收票據淨額:應收票據貼現—關係人,應收票據貼現—關係人,1186,,,,TWD,CURRENCY,F,F,F
資產:流動資產:應收票據淨額:其他應收票據—關係人,其他應收票據—關係人,1187,,,,TWD,CURRENCY,F,F,F
資產:流動資產:應收票據淨額:備抵損失—應收關係人票據,備抵損失—應收關係人票據,1188,,,,TWD,CURRENCY,F,F,F
資產:流動資產:應收帳款淨額:,應收帳款淨額,119,指商業因出售商品或勞務等而發生之債權。,,,TWD,CURRENCY,F,F,T
資產:流動資產:應收帳款淨額:應收帳款,應收帳款,1191,,,,TWD,CURRENCY,F,F,F
資產:流動資產:應收帳款淨額:備抵銷售退回及折讓,備抵銷售退回及折讓,1192,,,,TWD,CURRENCY,F,F,F
資產:流動資產:應收帳款淨額:應收分期帳款,應收分期帳款,1193,,,,TWD,CURRENCY,F,F,F
資產:流動資產:應收帳款淨額:未實現利息收入,未實現利息收入,1194,,,,TWD,CURRENCY,F,F,F
資產:流動資產:應收帳款淨額:應收租賃款,應收租賃款,1195,,,,TWD,CURRENCY,F,F,F
資產:流動資產:應收帳款淨額:未賺得融資收益,未賺得融資收益,1196,,,,TWD,CURRENCY,F,F,F
資產:流動資產:應收帳款淨額:應收帳款—關係人,應收帳款—關係人,1197,,,,TWD,CURRENCY,F,F,F
資產:流動資產:應收帳款淨額:備抵損失—應收租賃款,備抵損失—應收租賃款,1198,,,,TWD,CURRENCY,F,F,F
資產:流動資產:應收帳款淨額:備抵損失—應收帳款及分期帳款,備抵損失—應收帳款及分期帳款,1199,,,,TWD,CURRENCY,F,F,F
資產:流動資產:應收帳款淨額:應收分期帳款—關係人,應收分期帳款—關係人,119A,,,,TWD,CURRENCY,F,F,F
資產:流動資產:應收帳款淨額:未實現利息收入—關係人,未實現利息收入—關係人,119B,,,,TWD,CURRENCY,F,F,F
資產:流動資產:應收帳款淨額:應收租賃款—關係人,應收租賃款—關係人,119C,,,,TWD,CURRENCY,F,F,F
資產:流動資產:應收帳款淨額:未賺得融資收益—關係人,未賺得融資收益—關係人,119D,,,,TWD,CURRENCY,F,F,F
資產:流動資產:應收帳款淨額:備抵損失—應收關係人款項及分期帳款,備抵損失—應收關係人款項及分期帳款,119E,,,,TWD,CURRENCY,F,F,F
資產:流動資產:應收帳款淨額:備抵損失—應收關係人租賃款,備抵損失—應收關係人租賃款,119F,,,,TWD,CURRENCY,F,F,F
資產:流動資產:應收建造合約款:,應收建造合約款,120,,,,TWD,CURRENCY,F,F,T
資產:流動資產:應收建造合約款:應收建造合約款,應收建造合約款,1201,,,,TWD,CURRENCY,F,F,F
資產:流動資產:應收建造合約款:應收建造合約款—關係人,應收建造合約款—關係人,1202,,,,TWD,CURRENCY,F,F,F
資產:流動資產:其他應收款:,其他應收款,121,指不屬於應收票據、應收帳款及應收建造合約款之應收款項。,,,TWD,CURRENCY,F,F,T
資產:流動資產:其他應收款:應收收益,應收收益,1211,,,,TWD,CURRENCY,F,F,F
資產:流動資產:其他應收款:其他應收款—關係人,其他應收款—關係人,1212,,,,TWD,CURRENCY,F,F,F
資產:流動資產:其他應收款:其他應收款—其他,其他應收款—其他,1213,,,,TWD,CURRENCY,F,F,F
資產:流動資產:其他應收款:備抵損失—其他應收款,備抵損失—其他應收款,1214,,,,TWD,CURRENCY,F,F,F
資產:流動資產:其他應收款:備抵損失—其他應收關係人款,備抵損失—其他應收關係人款,1215,,,,TWD,CURRENCY,F,F,F
資產:流動資產:本期所得稅資產:,本期所得稅資產,122,指已支付所得稅金額超過本期及前期應付金額之部分。,,,TWD,CURRENCY,F,F,T
資產:流動資產:本期所得稅資產:應收所得稅退稅款,應收所得稅退稅款,1221,,,,TWD,CURRENCY,F,F,F
資產:流動資產:本期所得稅資產:預付所得稅,預付所得稅,1222,,,,TWD,CURRENCY,F,F,F
資產:流動資產:存貨:,存貨,123-124,指持有供正常營業過程出售者；或正在製造過程中以供正常營業過程出售者；或將於製造過程或勞務提供過程中消耗之原料或物料。,,,TWD,CURRENCY,F,F,T
資產:流動資產:存貨:商品存貨,商品存貨,1231,,,,TWD,CURRENCY,F,F,F
資產:流動資產:存貨:寄銷品,寄銷品,1232,,,,TWD,CURRENCY,F,F,F
資產:流動資產:存貨:在途商品,在途商品,1233,,,,TWD,CURRENCY,F,F,F
資產:流動資產:存貨:備抵存貨跌價(買賣業),備抵存貨跌價(買賣業),1234,,,,TWD,CURRENCY,F,F,F
資產:流動資產:存貨:製成品,製成品,1235,,,,TWD,CURRENCY,F,F,F
資產:流動資產:存貨:副產品,副產品,1236,,,,TWD,CURRENCY,F,F,F
資產:流動資產:存貨:在製品,在製品,1237,,,,TWD,CURRENCY,F,F,F
資產:流動資產:存貨:委外加工,委外加工,1238,,,,TWD,CURRENCY,F,F,F
資產:流動資產:存貨:原料,原料,1239,,,,TWD,CURRENCY,F,F,F
資產:流動資產:存貨:物料,物料,1240,,,,TWD,CURRENCY,F,F,F
資產:流動資產:存貨:在途原物料,在途原物料,1241,,,,TWD,CURRENCY,F,F,F
資產:流動資產:存貨:備抵存貨跌價(製造業),備抵存貨跌價(製造業),1242,,,,TWD,CURRENCY,F,F,F
資產:流動資產:存貨:農業產品,農業產品,1243,,,,TWD,CURRENCY,F,F,F
資產:流動資產:存貨:在建工程,在建工程,1244,,,,TWD,CURRENCY,F,F,F
資產:流動資產:生物資產—流動:,生物資產—流動,125,指與農業活動有關且具有生命之動物或植物。在生產性植物上生長中之農產品亦屬之。,,,TWD,CURRENCY,F,F,T
資產:流動資產:生物資產—流動:生產性生物資產—流動,生產性生物資產—流動,1251,,,,TWD,CURRENCY,F,F,F
資產:流動資產:生物資產—流動:累計折舊—生產性生物資產—流動,累計折舊—生產性生物資產—流動,1252,,,,TWD,CURRENCY,F,F,F
資產:流動資產:生物資產—流動:累計減損—生產性生物資產—流動,累計減損—生產性生物資產—流動,1253,,,,TWD,CURRENCY,F,F,F
資產:流動資產:生物資產—流動:生產性生物資產公允價值減出售成本累計變動數—流動,生產性生物資產公允價值減出售成本累計變動數—流動,1254,,,,TWD,CURRENCY,F,F,F
資產:流動資產:生物資產—流動:消耗性生物資產—流動,消耗性生物資產—流動,1255,,,,TWD,CURRENCY,F,F,F
資產:流動資產:生物資產—流動:累計折舊—消耗性生物資產—流動,累計折舊—消耗性生物資產—流動,1256,,,,TWD,CURRENCY,F,F,F
資產:流動資產:生物資產—流動:累計減損—消耗性生物資產—流動,累計減損—消耗性生物資產—流動,1257,,,,TWD,CURRENCY,F,F,F
資產:流動資產:生物資產—流動:消耗性生物資產公允價值減出售成本累計變動數—流動,消耗性生物資產公允價值減出售成本累計變動數—流動,1258,,,,TWD,CURRENCY,F,F,F
資產:流動資產:預付款項:,預付款項,126-127,指預為支付之各項成本或費用，包括預付費用及預付購料款等。,,,TWD,CURRENCY,F,F,T
資產:流動資產:預付款項:預付薪資,預付薪資,1261,,,,TWD,CURRENCY,F,F,F
資產:流動資產:預付款項:預付租金,預付租金,1262,,,,TWD,CURRENCY,F,F,F
資產:流動資產:預付款項:預付保險費,預付保險費,1263,,,,TWD,CURRENCY,F,F,F
資產:流動資產:預付款項:用品盤存,用品盤存,1264,,,,TWD,CURRENCY,F,F,F
資產:流動資產:預付款項:其他預付費用,其他預付費用,1265,,,,TWD,CURRENCY,F,F,F
資產:流動資產:預付款項:預付貨款,預付貨款,1266,,,,TWD,CURRENCY,F,F,F
資產:流動資產:預付款項:預付投資款,預付投資款,1267,,,,TWD,CURRENCY,F,F,F
資產:流動資產:預付款項:進項稅額,進項稅額,1268,,,,TWD,CURRENCY,F,F,F
資產:流動資產:預付款項:留抵稅額,留抵稅額,1269,,,,TWD,CURRENCY,F,F,F
資產:流動資產:預付款項:其他預付款項,其他預付款項,1270,,,,TWD,CURRENCY,F,F,F
資產:流動資產:其他流動資產:,其他流動資產,128,指不能歸屬於前述各類之流動資產。,,,TWD,CURRENCY,F,F,T
資產:流動資產:其他流動資產:暫付款,暫付款,1281,,,,TWD,CURRENCY,F,F,F
資產:流動資產:其他流動資產:代付款,代付款,1282,,,,TWD,CURRENCY,F,F,F
資產:流動資產:其他流動資產:員工借支,員工借支,1283,,,,TWD,CURRENCY,F,F,F
資產:流動資產:其他流動資產:存出保證金,存出保證金,1284,,,,TWD,CURRENCY,F,F,F
資產:非流動資產::,非流動資產,13-15,指不能歸屬於流動資產之各類資產。,,,TWD,CURRENCY,F,F,T
資產:非流動資產:透過損益按公允價值衡量之金融資產—非流動:,透過損益按公允價值衡量之金融資產—非流動,131,包括指定為透過損益按公允價值衡量之金融資產—非流動、強制透過損益按公允價值衡量之金融資產—非流動、透過其他綜合損益按公允價值衡量之權益工具投資—非流動、透過其他綜合損益按公允價值衡量之債務工具投資—非流動、以成本衡量之金融資產—非流動、避險之金融資產—非流動及採用權益法之投資。,,,TWD,CURRENCY,F,F,T
資產:非流動資產:透過損益按公允價值衡量之金融資產—非流動:指定為透過損益按公允價值衡量之金融資產—非流動,指定為透過損益按公允價值衡量之金融資產—非流動,1311,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:透過損益按公允價值衡量之金融資產—非流動:指定為透過損益按公允價值衡量之金融資產評價調整—非流動,指定為透過損益按公允價值衡量之金融資產評價調整—非流動,1312,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:透過損益按公允價值衡量之金融資產—非流動:強制透過損益按公允價值衡量之金融資產—非流動,強制透過損益按公允價值衡量之金融資產—非流動,1313,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:透過損益按公允價值衡量之金融資產—非流動:強制透過損益按公允價值衡量之金融資產評價調整—非流動,強制透過損益按公允價值衡量之金融資產評價調整—非流動,1314,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:透過其他綜合損益按公允價值衡量之金融資產—非流動:,透過其他綜合損益按公允價值衡量之金融資產—非流動,132,,,,TWD,CURRENCY,F,F,T
資產:非流動資產:透過其他綜合損益按公允價值衡量之金融資產—非流動:透過其他綜合損益按公允價值衡量之權益工具投資—非流動,透過其他綜合損益按公允價值衡量之權益工具投資—非流動,1321,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:透過其他綜合損益按公允價值衡量之金融資產—非流動:透過其他綜合損益按公允價值衡量之權益工具投資評價調整—非流動,透過其他綜合損益按公允價值衡量之權益工具投資評價調整—非流動,1322,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:透過其他綜合損益按公允價值衡量之金融資產—非流動:透過其他綜合損益按公允價值衡量之債務工具投資—非流動,透過其他綜合損益按公允價值衡量之債務工具投資—非流動,1323,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:透過其他綜合損益按公允價值衡量之金融資產—非流動:透過其他綜合損益按公允價值衡量之債務工具投資評價調整—非流動,透過其他綜合損益按公允價值衡量之債務工具投資評價調整—非流動,1324,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:以成本衡量之金融資產—非流動:,以成本衡量之金融資產—非流動,133,,,,TWD,CURRENCY,F,F,T
資產:非流動資產:以成本衡量之金融資產—非流動:以成本衡量之金融資產—非流動,以成本衡量之金融資產—非流動,1331,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:以成本衡量之金融資產—非流動:累計減損—以成本衡量之金融資產—非流動,累計減損—以成本衡量之金融資產—非流動,1332,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:按攤銷後成本衡量之金融資產—非流動:,按攤銷後成本衡量之金融資產—非流動,134,,,,TWD,CURRENCY,F,F,T
資產:非流動資產:按攤銷後成本衡量之金融資產—非流動:按攤銷後成本衡量之金融資產—非流動,按攤銷後成本衡量之金融資產—非流動,1341,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:按攤銷後成本衡量之金融資產—非流動:備抵損失—按攤銷後成本衡量之金融資產—非流動,備抵損失—按攤銷後成本衡量之金融資產—非流動,1342,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:避險之金融資產—非流動:,避險之金融資產—非流動,136,,,,TWD,CURRENCY,F,F,T
資產:非流動資產:避險之金融資產—非流動:避險之金融資產—非流動,避險之金融資產—非流動,1361,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:避險之金融資產—非流動:避險之金融資產評價調整—非流動,避險之金融資產評價調整—非流動,1362,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:採用權益法之投資:,採用權益法之投資,137,指持有具重大影響力或控制能力之權益工具投資。,,,TWD,CURRENCY,F,F,T
資產:非流動資產:採用權益法之投資:採用權益法之投資,採用權益法之投資,1371,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:採用權益法之投資:累計減損—採用權益法之投資,累計減損—採用權益法之投資,1372,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:投資性不動產:,投資性不動產,138,指為賺取租金或資本增值或兩者兼具，而由所有者或融資租賃之承租人所持有之不動產。,,,TWD,CURRENCY,F,F,T
資產:非流動資產:投資性不動產:投資性不動產—土地—成本,投資性不動產—土地—成本,1381,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:投資性不動產:投資性不動產—土地—累計公允價值變動數,投資性不動產—土地—累計公允價值變動數,1382,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:投資性不動產:累計減損—投資性不動產—土地,累計減損—投資性不動產—土地,1383,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:投資性不動產:投資性不動產—建築物—成本,投資性不動產—建築物—成本,1384,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:投資性不動產:投資性不動產—建築物—重估增值,投資性不動產—建築物—重估增值,1385,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:投資性不動產:投資性不動產—建築物—累計公允價值變動數,投資性不動產—建築物—累計公允價值變動數,1386,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:投資性不動產:累計折舊—投資性不動產—建築物,累計折舊—投資性不動產—建築物,1387,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:投資性不動產:累計減損—投資性不動產—建築物,累計減損—投資性不動產—建築物,1388,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:不動產、廠房及設備:,不動產、廠房及設備,139-146,指用於商品、農業產品或勞務之生產或提供、出租予他人或供管理目的而持有，且預期使用期間超過一年之有形資產，包括土地、建築物、機器設備、運輸設備及辦公設備等會計項目。,,,TWD,CURRENCY,F,F,T
資產:非流動資產:不動產、廠房及設備:土地—成本,土地—成本,1391,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:不動產、廠房及設備:土地—重估增值,土地—重估增值,1392,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:不動產、廠房及設備:累計減損—土地,累計減損—土地,1393,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:不動產、廠房及設備:土地改良物—成本,土地改良物—成本,1401,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:不動產、廠房及設備:土地改良物—重估增值,土地改良物—重估增值,1402,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:不動產、廠房及設備:累計折舊—土地改良物,累計折舊—土地改良物,1403,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:不動產、廠房及設備:累計減損—土地改良物,累計減損—土地改良物,1404,,,,TWD,CURRENCY,F,F,F
